model_id,org,downloads,likes,tags,created_at,card_chars
LyliaEngine/waiIllustriousSDXL_v170,LyliaEngine,67290,16,"diffusers,text-to-image,lora,template:diffusion-lora,base_model:OnomaAIResearch/Illustrious-xl-early-release-v0,base_model:adapter:OnomaAIResearch/Illustrious-xl-early-release-v0,license:cdla-permissive-2.0,region:us",2026-05-15 01:38:15+00:00,3150
ideogram-ai/ideogram-4-fp8,ideogram-ai,65556,786,"diffusers,safetensors,text-to-image,image-generation,diffusion,flow-matching,dit,ideogram,license:other,diffusers:Ideogram4Pipeline,region:us",2026-05-30 23:40:55+00:00,17068
AlperKTS/Krea2_FP8,AlperKTS,65508,110,"diffusers,krea2,text-to-image,image-generation,dit,fp8,comfyui,krea,license:other,region:us",2026-06-22 23:50:01+00:00,4730
nunchaku-ai/nunchaku-qwen-image-edit,nunchaku-ai,65174,121,"diffusers,image-editing,SVDQuant,Qwen-Image-Edit,Diffusion,Quantization,ICLR2025,text-to-image,en,dataset:mit-han-lab/svdquant-datasets,arxiv:2411.05007,base_model:Qwen/Qwen-Image-Edit,base_model:quantized:Qwen/Qwen-Image-Edit,license:apache-2.0,region:us",2025-09-10 01:16:49+00:00,7222
Runpod/FLUX.2-klein-4B-mflux-4bit,Runpod,64719,11,"mflux,safetensors,flux2-klein-4b,text-to-image,mlx,flux2,flux2-klein,quantized,4bit,apple-silicon,base_model:black-forest-labs/FLUX.2-klein-4B,base_model:finetune:black-forest-labs/FLUX.2-klein-4B,license:apache-2.0,region:us",2026-02-16 12:35:08+00:00,2585
InstantX/InstantID,InstantX,57931,876,"diffusers,safetensors,text-to-image,en,arxiv:2401.07519,license:apache-2.0,region:us",2024-01-19 11:52:05+00:00,4762
latent-consistency/lcm-lora-sdxl,latent-consistency,57566,774,"diffusers,lora,text-to-image,arxiv:2311.05556,base_model:stabilityai/stable-diffusion-xl-base-1.0,base_model:adapter:stabilityai/stable-diffusion-xl-base-1.0,license:openrail++,region:us",2023-11-09 00:34:02+00:00,9134
stablediffusionapi/juggernaut-reborn,stablediffusionapi,57467,3,"diffusers,modelslab.com,stable-diffusion-api,text-to-image,ultra-realistic,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2024-01-21 12:49:17+00:00,2209
Gazingstars123/Anima-2.9B,Gazingstars123,56965,367,"diffusion-single-file,anima,comfyui,text-to-image,en,arxiv:2401.02415,base_model:circlestone-labs/Anima,base_model:finetune:circlestone-labs/Anima,license:other,region:us",2026-08-12 07:23:49+00:00,4309
Tongyi-MAI/Z-Image,Tongyi-MAI,56112,1233,"diffusers,safetensors,text-to-image,en,arxiv:2511.22699,license:apache-2.0,diffusers:ZImagePipeline,region:us,deploy:azure",2026-01-23 10:02:00+00:00,5367
XLabs-AI/flux-ip-adapter,XLabs-AI,53515,430,"diffusers,Stable Diffusion,image-generation,Flux,controlnet,text-to-image,en,license:other,region:us",2024-08-20 20:47:30+00:00,2682
xinsir/controlnet-scribble-sdxl-1.0,xinsir,53110,268,"diffusers,safetensors,text-to-image,arxiv:2302.05543,license:apache-2.0,region:us",2024-05-12 15:15:08+00:00,10380
ByteDance/Hyper-SD,ByteDance,52248,1349,"diffusers,lora,text-to-image,stable-diffusion,flux,arxiv:2404.13686,base_model:black-forest-labs/FLUX.1-dev,base_model:adapter:black-forest-labs/FLUX.1-dev,region:us",2024-04-20 06:34:54+00:00,19979
ifmylove2011/girlslike-krea2,ifmylove2011,52229,86,"diffusers,lora,girlslike,krea2,text-to-image,base_model:krea/Krea-2-Raw,base_model:adapter:krea/Krea-2-Raw,license:apache-2.0,region:us",2026-07-20 02:02:01+00:00,11877
RunDiffusion/Juggernaut-XI-v11,RunDiffusion,50596,153,"diffusers,stable-diffusion,stable-diffusion-xl,sdxl,text-to-image,photorealistic,photography,cinematic,portrait,juggernaut,rundiffusion,kandooai,en,base_model:stabilityai/stable-diffusion-xl-base-1.0,base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0,license:cc-by-nc-nd-4.0,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2024-07-11 15:47:22+00:00,8609
city96/Qwen-Image-gguf,city96,50279,294,"gguf,text-to-image,en,zh,base_model:Qwen/Qwen-Image,base_model:quantized:Qwen/Qwen-Image,license:apache-2.0,region:us",2025-08-05 12:18:44+00:00,1714
John6666/hassaku-xl-illustrious-v31-sdxl,John6666,49141,2,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,anime,hentai,characters,woman,girls,bright and distinct anime style,artists,LoRA friendly,merge,Illustrious XL v1.0,Illustrious XL v2.0,illustrious,en,base_model:OnomaAIResearch/Illustrious-XL-v1.0,base_model:merge:OnomaAIResearch/Illustrious-XL-v1.0,base_model:OnomaAIResearch/Illustrious-XL-v2.0,base_model:merge:OnomaAIResearch/Illustrious-XL-v2.0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-10-06 10:48:10+00:00,151
John6666/prefect-illustrious-xl-v3-sdxl,John6666,47910,2,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,anime,girls,styles,lighting,texture,clean,color balance,prompt understanding,merge,noobai,Illustrious XL v1.0,illustrious,en,base_model:Laxhar/noobai-XL-1.1,base_model:merge:Laxhar/noobai-XL-1.1,base_model:OnomaAIResearch/Illustrious-XL-v1.0,base_model:merge:OnomaAIResearch/Illustrious-XL-v1.0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-08-13 23:57:10+00:00,181
stabilityai/stable-diffusion-3-medium-diffusers,stabilityai,47251,472,"diffusers,safetensors,text-to-image,stable-diffusion,en,arxiv:2403.03206,license:other,diffusers:StableDiffusion3Pipeline,region:us",2024-06-12 16:21:22+00:00,6642
